CALIBRATION,CHAN,LOCATION,MEASUREMENT,NOTES,RANGE_BASIS,SAMPLING,SYNC,UNCERTAINTY
Traceable force calibration before campaign; zero/tare at installed temperature,F01,Inline or load-washer interface in 110L load path,S1 rail reaction,"50 kN is a design selection based on source concept peak force envelope, not a measured P0 result.",Full-scale shall exceed the verified proof-load envelope and maintain operating region within calibrated sensor linear range. Preliminary procurement: 50 kN class if the source absorber envelope is used as the design case; NOT TEST DATA.,Dynamic: >=20 kS/s/channel; quasi-static: >=100 S/s,Common hardware timebase with all dynamic channels,Use calibrated system uncertainty; record sensor certificate and channel uncertainty budget
Traceable force calibration,F02,Inline or load-washer interface in 110R load path,S2 rail reaction,Independent left/right channels are required for load sharing and asymmetry.,Same rule as F01; symmetric channel class preferred.,Dynamic >=20 kS/s; quasi-static >=100 S/s,Common hardware timebase,Calibrated system uncertainty
Traceable force calibration,F03,Inline at 130L cartridge clevis/rod axis,Absorber force - left,Prefer inline transducer over indirect rail force for absorber law.,Verified proof load governs; preliminary 50 kN class when source 18-22 kN/side and 25-35 kN damping envelope is used for procurement sizing; NOT TEST DATA.,Dynamic >=20 kS/s; static >=100 S/s,Common hardware timebase,Calibrated system uncertainty + fixture alignment error
Traceable force calibration,F04,Inline at 130R cartridge clevis/rod axis,Absorber force - right,Independent channel required.,Same as F03,Dynamic >=20 kS/s; static >=100 S/s,Common hardware timebase,Calibrated system uncertainty + alignment
Length calibration over full travel,D01,"120 relative to 100/base fixture, longitudinal axis",Carriage stroke,Also use redundant visual/encoder verification in dynamic tests.,Full scale shall exceed source 180 mm ride-down and 210 mm total-travel concept envelope. Preliminary: >=250 mm travel class; NOT TEST DATA.,Dynamic >=20 kS/s; static >=100 S/s,Common hardware timebase,Sensor calibration + alignment
Traceable accelerometer calibration; orientation check,A01,Rigidly attached to 120 near center of mass datum,Seat-base longitudinal acceleration,"Source 25.6 g is explicitly a design-study input, not T-OCS evidence.","Full scale shall exceed verified event envelope. For a screening case based on the source example 25.6 g peak, FS must be >25.6 g with engineering margin; a 50 g class is the minimum procurement tier. NOT TEST DATA.",Dynamic >=20 kS/s; anti-alias filter documented,Common hardware timebase,Sensor + mounting resonance contribution documented
Traceable calibration,A02,100 fixture/reference structure,Base/fixture acceleration,Required for relative acceleration and event synchronization.,"Same selection rule as A01, scaled to the actual test-rig measured regime",Dynamic >=20 kS/s,Common hardware timebase,Calibrated system uncertainty
Angle calibration and axis alignment,R01,Absolute/inertial angular sensor on 160 frame referenced to base datum,Seatback rotation,A redundant high-speed video measurement is recommended.,Full scale shall exceed source conceptual envelope (-10 to +25 deg) and any verified overshoot; select at least 2x the pretest envelope after shakedown. NOT TEST DATA.,Dynamic >=10 kS/s; static >=100 S/s,Common hardware timebase,Angle calibration + mounting alignment
Traceable force/pin calibration,F05,150L link clevis or instrumented pin,Rotation-control link load - left,"If direct load cell integration threatens kinematics, use instrumented pin/strain-gauged link.",Proof-load-based; preliminary class set after static shakedown load acquisition,>=20 kS/s dynamic,Common timebase,Calibration + alignment
Traceable,F06,150R link clevis or instrumented pin,Rotation-control link load - right,Independent left/right comparison.,Same as F05,>=20 kS/s dynamic,Common timebase,Calibrated uncertainty
State-position correlation check against physical gauge,S01,170 module state indicator/encoder or discrete sensor,Lock state,Measure transitions S0-S5 as realized; do not assume times from concept board.,State sensor shall be non-saturating over all mechanical states; discrete or absolute position sensing acceptable,>=20 kS/s for event timing,Common timebase,Timing uncertainty dominated by sensor/DAQ latency
Traceable temperature calibration,T01,"Absorber body and, where relevant, fluid/reservoir surface",Absorber temperature,Required for temperature sensitivity campaign.,Must cover source operating concept -40 to +80 C plus calibration margin,>=100 S/s dynamic; slower acceptable for soak,Common timebase,Calibrated temperature uncertainty
"Lens calibration, geometric target calibration, trigger timing check",V01,"Camera side view and/or orthogonal views covering rails, seatback, lock and absorber travel",High-speed kinematics,"Video is corroborating evidence, not sole force/stiffness evidence.",Frame rate selected so the shortest event of interest has multiple frames; start at >=1000 fps for screening and increase when event-feature resolution requires,Video frame rate governed by test,Optical/TTL sync to DAQ,Pixel-to-length and timing uncertainty documented
