CLASS,FUNCTION,MANUFACTURING,MATERIAL_BASIS,NAME,P0_ID,QTY,REF,SOURCE_BASIS
TEST-CRITICAL,Transfers controlled bench/sled loads into the two rail paths; provides four-point structural retention interface.,"Welded/bolted fabrication to released fixture drawing; critical hole pattern must be taken from native R4.1/CAD, not raster estimation.",High-strength steel per source concept; final grade from material certificate and drawing release.,Vehicle interface / base frame test fixture,P0-001,1,100,V5 manufacturing board and V6/V7 architecture; four-point vehicle-floor reference appears on p31 image.
AS-DESIGNED / TEST-CRITICAL / INSTRUMENTED,Left-side longitudinal guidance and load transfer.,"Machine/press-form or source-equivalent rail; verify straightness, parallelism and bore geometry against CAD.",Source drawing: DP780 / hot-stamped rail concept.,Longitudinal load path S1 rail,P0-002,1,110L,Source p29 and p31 boards: dual rail S1/S2; 520 nominal rail package and 180 mm ride-down stroke.
AS-DESIGNED / TEST-CRITICAL / INSTRUMENTED,Right-side longitudinal guidance and load transfer.,Mirror/independently inspectable counterpart to S1.,Source drawing: DP780 / hot-stamped rail concept.,Longitudinal load path S2 rail,P0-003,1,110R,Source p29 and p31 boards.
TEST-CRITICAL / INSTRUMENTED / REPLACEABLE,Moving member between rail pair and seat structure; carries absorber reactions.,Welded/machined hybrid as CAD dictates; datum structure must support displacement and load instrumentation.,High-strength steel per source concept; exact grade by MTR.,Seat carriage,P0-004,1,120,Source architecture identifies seat carriage as seat-to-rail/absorber interface.
TEST-CRITICAL / VARIABLE / REPLACEABLE / INSTRUMENTED,Controlled longitudinal energy dissipation on each side.,Provide standardized clevis-to-clevis mounting interface so cartridge can be replaced without changing surrounding structure.,"Source concept uses high-damping steel/hydraulic/metallic energy elements; actual cartridge technology is to be selected and characterized, not assumed.",Ride-down energy-management module / cartridge interface,P0-005,2,130,V7 reference 130; source p31 absorber exploded view.
AS-DESIGNED / TEST-CRITICAL,Provides distributed pelvic trajectory/load-guidance geometry.,Formed sheet or machined prototype as CAD dictates; preserve front hinge interfaces.,Source p29/p31 seat-pan steel concept; final thickness/grade by drawing and MTR.,Pelvic-control / anti-submarining pan,P0-006,1,140,V7 reference 140 and V6 dependent claim family.
TEST-CRITICAL / INSTRUMENTED / REPLACEABLE,Independent left rotation-control load path.,Precision pivot bores; provide replaceable pin/bushing stack.,High-strength steel per source architecture; exact grade by MTR.,Seatback rotation-control link left,P0-007,1,150L,V7 stable numeral 150L/150R; p4/p15 distinct rotation path.
TEST-CRITICAL / INSTRUMENTED / REPLACEABLE,Independent right rotation-control load path.,Mirror/independent inspection counterpart to 150L.,High-strength steel per source architecture.,Seatback rotation-control link right,P0-008,1,150R,V7 stable numeral 150L/150R.
AS-DESIGNED / TEST-CRITICAL / INSTRUMENTED,Torso/head structural support and seatback rotation member.,Welded frame; all hinge and link datums inspection-controlled.,Source p29: DP980 concept; final grade from MTR.,Seatback frame,P0-009,1,160,V7 ref 160; p29 manufacturing board; p31 exploded system.
TEST-CRITICAL / VARIABLE / REPLACEABLE / INSTRUMENTED,Controls mechanical state transition among drive/prepare/ride-down/end-state functions.,Machine body and pin interfaces; spring/trigger elements must be replaceable; provide status sensor target.,Source p31: DP980 housing / SCM440 pin/spring concept; exact grade/MTR required.,Multi-state lock module,P0-010,2,170,V7 ref 170; p17 S0-S5 state concept; p31 lock exploded/state board.
TEST-CRITICAL / VARIABLE / REPLACEABLE / INSTRUMENTED,Controls reverse motion after primary stroke.,Modular mounting with known axis and travel limits.,Directional damper or locking element per selected embodiment; not assumed.,Rebound-control module,P0-011,2,180,V7 ref 180 and p5/p17 rebound state.
TEST-CRITICAL / INSTRUMENTED,Preserves restraint load path and permits instrumented belt/anchor tests without human occupants.,Do not improvise production anchorage; use qualified test anchor/fixture or verified vehicle-equivalent anchor geometry.,Certified lab fixture/seat-belt anchor hardware; exact rating from supplier documentation.,Occupant-restraint interface test mount,P0-012,1,190,V7 ref 190; claim language requires restraint path remains operable.
VARIABLE / TEST-CRITICAL,Represents guidance surfaces where they influence occupant trajectory; no human occupancy in early P0 testing.,Use a modular dummy/guide fixture so geometry can be changed without modifying structural frame.,Prototype structural frame + replaceable compliant surface only after bench safety review.,Torso/head guidance test geometry,P0-013,1,200,V7 ref 200; V6 claim family/p18 observables.
INSTRUMENTED / REPLACEABLE,"Provides fixed datum locations, connector routing and trigger/state sensing interfaces.","Connectorized, strain-relieved, mechanically isolated from moving members.",Non-structural aluminum/steel test panel.,Sensor / trigger interface panel,P0-014,1,210,V7 ref 210; source calls out sensor/trigger interface.
TEST-CRITICAL / REPLACEABLE / INSTRUMENTED,"Back and pan hinges, pivot pins, bushings, washers, retainers.",Use replaceable bushings and traceable fastener lot; no unverified substitutions.,Source p29/p31 includes SCM440/10.9 concept fasteners; exact parts by supplier certificate.,Hinge/pivot hardware set,P0-015,1 set,J,V7 p2 stable reference list and p31 joint details.
INSTRUMENTED / REPLACEABLE,"Provides access for load washers/cells, extensometry and preload measurement where needed.",Predefine sensor clearances before machining.,Supplier-certified fastener grade; no generic substitution.,Instrumentation-ready fastener/adapter set,F,1 set,F,Source p29/p31 fastener details.
