PARAMETER_ID,PARAMETER_NAME,RAW_VALUE,UNIT_AS_WRITTEN,NORMALIZED_VALUE_IF_SAFE,NORMALIZED_UNIT_IF_SAFE,SOURCE_DOCUMENT,SOURCE_VERSION,PAGE,SECTION,FIGURE_TABLE,EXACT_SOURCE_CONTEXT,RELATED_COMPONENT,RELATED_FUNCTION,CLASSIFICATION,SOURCE_STATUS,T_OCS_STATUS,BUILD_CRITICALITY,CAN_BE_USED_AS_P0_BUILD_INPUT,CAN_BE_USED_AS_FUNCTIONAL_TEST_INPUT,CAN_BE_USED_AS_FE_INPUT,CAN_BE_USED_AS_PHYSICAL_EVIDENCE,TRACEABILITY,PHYSICAL_RESULT
V7_REF_100,100,REF_100,NOT_STATED,REF_100,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,2,V7-1 Stable CAD / Patent Reference Numerals,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-1. Stable CAD / Patent Reference Numerals
  Use the same reference numbers in CAD, patent drawings, claim text, test procedures and FEA reports. This prevents the
  common failure in which the same component receives different names across drawings and claims.

Ref.                      Element                                           Claim / test role

100                       Vehicle interface / base frame                    Vehicle hardpoint load transfer.

110L/110R                 Longitudinal load paths S1/S2                     Bilateral guidance, load sharing, torsional control.

120                       Seat carriage                                     Seat-to-rail/absorber interface.

130                       Ride-down energy-management module                Controlled longitudinal displacement and energy dissipation.

140                       Pelvic-control / anti-submarining pan             Pelvis trajectory and load distribution.

150L/150R                 Seatback rotation-control links                   Independent rotation-limiting path.

160                       Seatback frame                                    Torso/head structural support.

170                       Multi-state lock                                  Normal / armed / ride-down / rebound / secure state transitions.

180                       Rebound-control module                            Reverse-motion control.

190                       Occupant restraint interface                      Seat-belt/airbag interface.

200                   ",100,vehicle interface,A_AUTHORITATIVE_DESIGN_DEFINITION,SOURCE_DOCUMENT,ARCHITECTURE_REFERENCE,CRITICAL_BEFORE_BUILD,True,True,False,False,PASS,NO
V7_REF_110L_110R,110L/110R,REF_110L/110R,NOT_STATED,REF_110L/110R,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,2,V7-1 Stable CAD / Patent Reference Numerals,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-1. Stable CAD / Patent Reference Numerals
  Use the same reference numbers in CAD, patent drawings, claim text, test procedures and FEA reports. This prevents the
  common failure in which the same component receives different names across drawings and claims.

Ref.                      Element                                           Claim / test role

100                       Vehicle interface / base frame                    Vehicle hardpoint load transfer.

110L/110R                 Longitudinal load paths S1/S2                     Bilateral guidance, load sharing, torsional control.

120                       Seat carriage                                     Seat-to-rail/absorber interface.

130                       Ride-down energy-management module                Controlled longitudinal displacement and energy dissipation.

140                       Pelvic-control / anti-submarining pan             Pelvis trajectory and load distribution.

150L/150R                 Seatback rotation-control links                   Independent rotation-limiting path.

160                       Seatback frame                                    Torso/head structural support.

170                       Multi-state lock                                  Normal / armed / ride-down / rebound / secure state transitions.

180                       Rebound-control module                            Reverse-motion control.

190                       Occupant restraint interface                      Seat-belt/airbag interface.

200                   ",110L/110R,bilateral guidance,A_AUTHORITATIVE_DESIGN_DEFINITION,SOURCE_DOCUMENT,ARCHITECTURE_REFERENCE,CRITICAL_BEFORE_BUILD,True,True,False,False,PASS,NO
V7_REF_120,120,REF_120,NOT_STATED,REF_120,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,2,V7-1 Stable CAD / Patent Reference Numerals,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-1. Stable CAD / Patent Reference Numerals
  Use the same reference numbers in CAD, patent drawings, claim text, test procedures and FEA reports. This prevents the
  common failure in which the same component receives different names across drawings and claims.

Ref.                      Element                                           Claim / test role

100                       Vehicle interface / base frame                    Vehicle hardpoint load transfer.

110L/110R                 Longitudinal load paths S1/S2                     Bilateral guidance, load sharing, torsional control.

120                       Seat carriage                                     Seat-to-rail/absorber interface.

130                       Ride-down energy-management module                Controlled longitudinal displacement and energy dissipation.

140                       Pelvic-control / anti-submarining pan             Pelvis trajectory and load distribution.

150L/150R                 Seatback rotation-control links                   Independent rotation-limiting path.

160                       Seatback frame                                    Torso/head structural support.

170                       Multi-state lock                                  Normal / armed / ride-down / rebound / secure state transitions.

180                       Rebound-control module                            Reverse-motion control.

190                       Occupant restraint interface                      Seat-belt/airbag interface.

200                   ",120,seat-to-rail/absorber interface,A_AUTHORITATIVE_DESIGN_DEFINITION,SOURCE_DOCUMENT,ARCHITECTURE_REFERENCE,CRITICAL_BEFORE_BUILD,True,True,False,False,PASS,NO
V7_REF_130,130,REF_130,NOT_STATED,REF_130,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,2,V7-1 Stable CAD / Patent Reference Numerals,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-1. Stable CAD / Patent Reference Numerals
  Use the same reference numbers in CAD, patent drawings, claim text, test procedures and FEA reports. This prevents the
  common failure in which the same component receives different names across drawings and claims.

Ref.                      Element                                           Claim / test role

100                       Vehicle interface / base frame                    Vehicle hardpoint load transfer.

110L/110R                 Longitudinal load paths S1/S2                     Bilateral guidance, load sharing, torsional control.

120                       Seat carriage                                     Seat-to-rail/absorber interface.

130                       Ride-down energy-management module                Controlled longitudinal displacement and energy dissipation.

140                       Pelvic-control / anti-submarining pan             Pelvis trajectory and load distribution.

150L/150R                 Seatback rotation-control links                   Independent rotation-limiting path.

160                       Seatback frame                                    Torso/head structural support.

170                       Multi-state lock                                  Normal / armed / ride-down / rebound / secure state transitions.

180                       Rebound-control module                            Reverse-motion control.

190                       Occupant restraint interface                      Seat-belt/airbag interface.

200                   ",130,controlled longitudinal displacement and energy dissipation,A_AUTHORITATIVE_DESIGN_DEFINITION,SOURCE_DOCUMENT,ARCHITECTURE_REFERENCE,CRITICAL_BEFORE_BUILD,True,True,False,False,PASS,NO
V7_REF_140,140,REF_140,NOT_STATED,REF_140,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,2,V7-1 Stable CAD / Patent Reference Numerals,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-1. Stable CAD / Patent Reference Numerals
  Use the same reference numbers in CAD, patent drawings, claim text, test procedures and FEA reports. This prevents the
  common failure in which the same component receives different names across drawings and claims.

Ref.                      Element                                           Claim / test role

100                       Vehicle interface / base frame                    Vehicle hardpoint load transfer.

110L/110R                 Longitudinal load paths S1/S2                     Bilateral guidance, load sharing, torsional control.

120                       Seat carriage                                     Seat-to-rail/absorber interface.

130                       Ride-down energy-management module                Controlled longitudinal displacement and energy dissipation.

140                       Pelvic-control / anti-submarining pan             Pelvis trajectory and load distribution.

150L/150R                 Seatback rotation-control links                   Independent rotation-limiting path.

160                       Seatback frame                                    Torso/head structural support.

170                       Multi-state lock                                  Normal / armed / ride-down / rebound / secure state transitions.

180                       Rebound-control module                            Reverse-motion control.

190                       Occupant restraint interface                      Seat-belt/airbag interface.

200                   ",140,pelvis trajectory and load distribution,A_AUTHORITATIVE_DESIGN_DEFINITION,SOURCE_DOCUMENT,ARCHITECTURE_REFERENCE,CRITICAL_BEFORE_BUILD,True,True,False,False,PASS,NO
V7_REF_150L_150R,150L/150R,REF_150L/150R,NOT_STATED,REF_150L/150R,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,2,V7-1 Stable CAD / Patent Reference Numerals,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-1. Stable CAD / Patent Reference Numerals
  Use the same reference numbers in CAD, patent drawings, claim text, test procedures and FEA reports. This prevents the
  common failure in which the same component receives different names across drawings and claims.

Ref.                      Element                                           Claim / test role

100                       Vehicle interface / base frame                    Vehicle hardpoint load transfer.

110L/110R                 Longitudinal load paths S1/S2                     Bilateral guidance, load sharing, torsional control.

120                       Seat carriage                                     Seat-to-rail/absorber interface.

130                       Ride-down energy-management module                Controlled longitudinal displacement and energy dissipation.

140                       Pelvic-control / anti-submarining pan             Pelvis trajectory and load distribution.

150L/150R                 Seatback rotation-control links                   Independent rotation-limiting path.

160                       Seatback frame                                    Torso/head structural support.

170                       Multi-state lock                                  Normal / armed / ride-down / rebound / secure state transitions.

180                       Rebound-control module                            Reverse-motion control.

190                       Occupant restraint interface                      Seat-belt/airbag interface.

200                   ",150L/150R,independent rotation-limiting path,A_AUTHORITATIVE_DESIGN_DEFINITION,SOURCE_DOCUMENT,ARCHITECTURE_REFERENCE,CRITICAL_BEFORE_BUILD,True,True,False,False,PASS,NO
V7_REF_160,160,REF_160,NOT_STATED,REF_160,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,2,V7-1 Stable CAD / Patent Reference Numerals,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-1. Stable CAD / Patent Reference Numerals
  Use the same reference numbers in CAD, patent drawings, claim text, test procedures and FEA reports. This prevents the
  common failure in which the same component receives different names across drawings and claims.

Ref.                      Element                                           Claim / test role

100                       Vehicle interface / base frame                    Vehicle hardpoint load transfer.

110L/110R                 Longitudinal load paths S1/S2                     Bilateral guidance, load sharing, torsional control.

120                       Seat carriage                                     Seat-to-rail/absorber interface.

130                       Ride-down energy-management module                Controlled longitudinal displacement and energy dissipation.

140                       Pelvic-control / anti-submarining pan             Pelvis trajectory and load distribution.

150L/150R                 Seatback rotation-control links                   Independent rotation-limiting path.

160                       Seatback frame                                    Torso/head structural support.

170                       Multi-state lock                                  Normal / armed / ride-down / rebound / secure state transitions.

180                       Rebound-control module                            Reverse-motion control.

190                       Occupant restraint interface                      Seat-belt/airbag interface.

200                   ",160,torso/head structural support,A_AUTHORITATIVE_DESIGN_DEFINITION,SOURCE_DOCUMENT,ARCHITECTURE_REFERENCE,CRITICAL_BEFORE_BUILD,True,True,False,False,PASS,NO
V7_REF_170,170,REF_170,NOT_STATED,REF_170,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,2,V7-1 Stable CAD / Patent Reference Numerals,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-1. Stable CAD / Patent Reference Numerals
  Use the same reference numbers in CAD, patent drawings, claim text, test procedures and FEA reports. This prevents the
  common failure in which the same component receives different names across drawings and claims.

Ref.                      Element                                           Claim / test role

100                       Vehicle interface / base frame                    Vehicle hardpoint load transfer.

110L/110R                 Longitudinal load paths S1/S2                     Bilateral guidance, load sharing, torsional control.

120                       Seat carriage                                     Seat-to-rail/absorber interface.

130                       Ride-down energy-management module                Controlled longitudinal displacement and energy dissipation.

140                       Pelvic-control / anti-submarining pan             Pelvis trajectory and load distribution.

150L/150R                 Seatback rotation-control links                   Independent rotation-limiting path.

160                       Seatback frame                                    Torso/head structural support.

170                       Multi-state lock                                  Normal / armed / ride-down / rebound / secure state transitions.

180                       Rebound-control module                            Reverse-motion control.

190                       Occupant restraint interface                      Seat-belt/airbag interface.

200                   ",170,state transitions,A_AUTHORITATIVE_DESIGN_DEFINITION,SOURCE_DOCUMENT,ARCHITECTURE_REFERENCE,CRITICAL_BEFORE_BUILD,True,True,False,False,PASS,NO
V7_REF_180,180,REF_180,NOT_STATED,REF_180,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,2,V7-1 Stable CAD / Patent Reference Numerals,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-1. Stable CAD / Patent Reference Numerals
  Use the same reference numbers in CAD, patent drawings, claim text, test procedures and FEA reports. This prevents the
  common failure in which the same component receives different names across drawings and claims.

Ref.                      Element                                           Claim / test role

100                       Vehicle interface / base frame                    Vehicle hardpoint load transfer.

110L/110R                 Longitudinal load paths S1/S2                     Bilateral guidance, load sharing, torsional control.

120                       Seat carriage                                     Seat-to-rail/absorber interface.

130                       Ride-down energy-management module                Controlled longitudinal displacement and energy dissipation.

140                       Pelvic-control / anti-submarining pan             Pelvis trajectory and load distribution.

150L/150R                 Seatback rotation-control links                   Independent rotation-limiting path.

160                       Seatback frame                                    Torso/head structural support.

170                       Multi-state lock                                  Normal / armed / ride-down / rebound / secure state transitions.

180                       Rebound-control module                            Reverse-motion control.

190                       Occupant restraint interface                      Seat-belt/airbag interface.

200                   ",180,reverse-motion control,A_AUTHORITATIVE_DESIGN_DEFINITION,SOURCE_DOCUMENT,ARCHITECTURE_REFERENCE,CRITICAL_BEFORE_BUILD,True,True,False,False,PASS,NO
V7_REF_190,190,REF_190,NOT_STATED,REF_190,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,2,V7-1 Stable CAD / Patent Reference Numerals,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-1. Stable CAD / Patent Reference Numerals
  Use the same reference numbers in CAD, patent drawings, claim text, test procedures and FEA reports. This prevents the
  common failure in which the same component receives different names across drawings and claims.

Ref.                      Element                                           Claim / test role

100                       Vehicle interface / base frame                    Vehicle hardpoint load transfer.

110L/110R                 Longitudinal load paths S1/S2                     Bilateral guidance, load sharing, torsional control.

120                       Seat carriage                                     Seat-to-rail/absorber interface.

130                       Ride-down energy-management module                Controlled longitudinal displacement and energy dissipation.

140                       Pelvic-control / anti-submarining pan             Pelvis trajectory and load distribution.

150L/150R                 Seatback rotation-control links                   Independent rotation-limiting path.

160                       Seatback frame                                    Torso/head structural support.

170                       Multi-state lock                                  Normal / armed / ride-down / rebound / secure state transitions.

180                       Rebound-control module                            Reverse-motion control.

190                       Occupant restraint interface                      Seat-belt/airbag interface.

200                   ",190,seat-belt/airbag interface,A_AUTHORITATIVE_DESIGN_DEFINITION,SOURCE_DOCUMENT,ARCHITECTURE_REFERENCE,CRITICAL_BEFORE_BUILD,True,True,False,False,PASS,NO
